Date,Open,High,Low,Close,Adj Close,Volume
21-Apr-23,0.674318,0.6743,0.66786,0.674318,0.674318,0
24-Apr-23,0.669349,0.66976,0.6667,0.669349,0.669349,0
25-Apr-23,0.670381,0.670691,0.66258,0.670381,0.670381,0
26-Apr-23,0.66364,0.664,0.65958,0.66364,0.66364,0
27-Apr-23,0.660838,0.6635,0.659609,0.660838,0.660838,0
28-Apr-23,0.66304,0.664218,0.65761,0.66304,0.66304,0
01-May-23,0.66124,0.6671,0.66107,0.66124,0.66124,0
02-May-23,0.66228,0.671817,0.66209,0.66228,0.66228,0
03-May-23,0.6673,0.6677,0.665009,0.6673,0.6673,0
04-May-23,0.664152,0.66994,0.66408,0.664152,0.664152,0
05-May-23,0.66961,0.675,0.66956,0.66961,0.66961,0
08-May-23,0.674768,0.680411,0.67413,0.674768,0.674768,0
09-May-23,0.678099,0.6788,0.67474,0.678099,0.678099,0
10-May-23,0.676691,0.68177,0.674509,0.676691,0.676691,0
11-May-23,0.678191,0.679717,0.668959,0.678191,0.678191,0
12-May-23,0.66999,0.670781,0.66431,0.66999,0.66999,0
